03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;8;15 a 17 anos;  2 025;   381;   898;   516;   151;   80;15 a 17 anos;5,2;8,3;6,1;3,9;3,4;4,5;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;9;18 ou 19 anos;   889;   160;   399;   233;   65;   32;18 ou 19 anos;2,3;3,5;2,7;1,8;1,5;1,8;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;10;20 a 24 anos;  1 621;   309;   734;   378;   132;   68;20 a 24 anos;4,2;6,8;5,0;2,9;3,0;3,9;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;11;25 a 29 anos;  1 565;   270;   746;   381;   110;   58;25 a 29 anos;4,1;5,9;5,1;2,9;2,5;3,3;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;12;30 a 34 anos;  1 733;   283;   794;   438;   145;   73;30 a 34 anos;4,5;6,2;5,4;3,3;3,3;4,2;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;13;35 a 39 anos;  1 907;   293;   879;   493;   166;   77;35 a 39 anos;4,9;6,4;6,0;3,7;3,7;4,4;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;14;40 a 44 anos;  1 971;   262;   857;   569;   203;   81;40 a 44 anos;5,1;5,7;5,8;4,3;4,6;4,6;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;15;45 a 49 anos;  2 146;   238;   863;   701;   255;   89;45 a 49 anos;5,6;5,2;5,9;5,3;5,8;5,1;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;16;50 a 54 anos;  2 317;   228;   870;   818;   319;   82;50 a 54 anos;6,0;5,0;5,9;6,2;7,2;4,7;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;17;55 a 59 anos;  2 400;   215;   813;   940;   329;   104;55 a 59 anos;6,2;4,7;5,5;7,2;7,4;5,9;;;;;;;;;;;;;;;;
04_Tab_1.3.2.1_a_1.3.2.2.csv;04_Tab_1.3.2.1_a_1.3.2.2;18;60 anos ou mais;  12 746;   855;  4 024;  5 520;  1 779;   568;60 anos ou mais;33,0;18,7;27,3;42,0;40,2;32,5;;;;;;;;;;;;;;;;
